#Global attributes;Value
# instrument;="CTD"
# latitude;="42.03"
# longitude;="2.11"



TIME;TEMP;PSAL;TEMP_QC;PSAL_QC
2018-01-01;10.0;28.0;0;0
2018-01-02;9.015192246987793;30.34729635533386;0;0
2018-01-03;10.34202014332567;31.879385241571818;0;0
2018-01-04;10.86602540378444;29.0;0;0
2018-01-05;9.35721239031346;28.467911113762042;0;0
2018-01-06;9.35721239031346;31.532088886237958;0;0
2018-01-07;10.86602540378444;31.0;0;0
2018-01-08;10.34202014332567;28.120614758428182;0;0
2018-01-09;9.015192246987793;29.65270364466614;0;0
2018-01-10;10.0;32.0;0;0
